iid1	iid2	Nonnormalized_P0	Nonnormalized_P0_serr	OverlapNSNPs
Sample43	Sample15	0.272547707795725	0.004480015382403	31389
Sample43	Sample10	0.272825564632388	0.0036388235401073	49944
Sample43	Sample23	0.274158815612382	0.0035249235542348	52010
Sample43	Sample44	0.267885423795092	0.0033139018642738	51145
Sample43	Sample1	0.267951904346074	0.0034299756005178	59548
Sample43	Sample51	0.274430042712128	0.0032102413469741	54083
Sample43	Sample17	0.268544044521166	0.0041364454042865	38813
Sample43	Sample48	0.276086770127754	0.004409115371496	23326
Sample43	Sample13	0.274733247972685	0.0035618223214775	46860
Sample43	Sample57	0.27726710565899	0.0052511113428081	29917
Sample43	Sample54	0.277225620115528	0.0047623149931594	23544
Sample43	Sample7	0.206986943590261	0.0043223708945744	19837
Sample43	Sample58	0.272486949538214	0.0042224790582781	29884
Sample43	Sample27	0.276690370299903	0.0038478224927119	42047
Sample43	Sample45	0.253843879361325	0.0076258030598999	6764
Sample43	Sample24	0.25253023944705	0.0054712361732368	12153
Sample43	Sample22	0.240430693962665	0.0032319987852804	49873
Sample43	Sample25	0.251732673267327	0.00832983732406	4040
Sample43	Sample31	0.258294573643411	0.0077133648822354	6450
Sample43	Sample18	0.242248062015504	0.0069805007580911	6708
Sample38	Sample26	0.247309704807977	0.0057987820921053	10129
Sample38	Sample52	0.229878001994936	0.003891880643601	39099
Sample38	Sample50	0.282050022111936	0.0052636059079034	20351
Sample38	Sample40	0.280360255665311	0.0067294725125258	10326
Sample38	Sample47	0.259503507371781	0.0044287353644131	23807
Sample38	Sample32	0.187276319713689	0.0034225067083511	53648
Sample38	Sample33	0.24797348560476	0.0041755095884369	25043
Sample38	Sample14	0.20286534910757	0.0035354476404299	29246
Sample38	Sample9	0.268469095691189	0.00380037974966	25854
Sample38	Sample11	0.259186106514351	0.0031959236662668	56199
Sample38	Sample53	0.253879804187064	0.0026681541135453	57606
Sample38	Sample46	0.247327327327327	0.0031764072052262	49950
Sample38	Sample55	0.269589671481529	0.0043642000408784	23469
Sample38	Sample34	0.264858087921468	0.0036373572109544	37488
Sample38	Sample5	0.21145222490514	0.0067956947098609	8697
Sample38	Sample39	0.273683321366727	0.0045925160704778	23677
Sample38	Sample49	0.266853008878658	0.0061137860936571	12164
Sample38	Sample56	0.265761801083986	0.0033513632373597	43174
Sample38	Sample20	0.271958160283033	0.005462289105473	13002
Sample38	Sample36	0.278999333696771	0.0052286252106788	16509
Sample38	Sample37	0.2610182591054	0.0031809560911611	51755
Sample38	Sample41	0.254396906573531	0.0026523792242006	96204
Sample38	Sample28	0.277752450421701	0.0067469208518599	8774
Sample38	Sample2	0.269101406287243	0.0032129048799813	37759
Sample38	Sample29	0.280120328353643	0.0045488279237379	19613
Sample38	Sample30	0.234275938411996	0.0034668186734853	39748
Sample38	Sample3	0.27891023128185	0.0052881018796535	15306
Sample38	Sample8	0.273716422985379	0.0081404573507071	5882
Sample38	Sample42	0.265098301557216	0.0041237991421723	26907
Sample38	Sample35	0.266187845303867	0.0037937797344089	36200
Sample38	Sample12	0.264874506306536	0.0064253739502861	7849
Sample38	Sample21	0.268813825608798	0.0072953796944596	6365
Sample38	Sample16	0.269437438315605	0.0065154228413832	9119
Sample38	Sample19	0.209221023694983	0.0031890851824362	33467
Sample38	Sample15	0.267254828124159	0.0050538297397887	18589
Sample38	Sample10	0.267722393453077	0.0039774337777739	37636
Sample38	Sample23	0.266344814334438	0.0034968971032316	41634
Sample38	Sample44	0.26715996998784	0.0035840380047428	38651
Sample38	Sample1	0.261508454998201	0.0035504313174856	52809
Sample38	Sample51	0.269919001090816	0.003428050422456	43087
Sample38	Sample17	0.275348919121208	0.0050837853696902	22713
Sample38	Sample48	0.281694775812423	0.0055988716076276	12155
